STN_Code,Location_Name,Water_Body_Type,State_Name,Temperature_Min,Temperature_Max,DO_Min,DO_Max,pH_Min,pH_Max,Conductivity_Min,Conductivity_Max,BOD_Min,BOD_Max,Nitrate_Min,Nitrate_Max,Fecal_Coliform_Min,Fecal_Coliform_Max,Total_Coliform_Min,Total_Coliform_Max,Water_Quality,Pollution_Level
4701.0,"LINGAM KUNTA, CHANDANAGAR (V)
SERLINGAMPALLY",LAKE,TELANGANA,20.0,27.0,0.3,3.2,6.9,8.5,940.0,1360.0,4.0,10.0,3.0,12.0,10.0,47.0,140.0,540.0,Poor,Moderately Polluted
4670.0,"MADDELLA KUNTA/ BAIRAMALGUDA
CHERUVU",LAKE,TELANGANA,28.0,35.0,2.8,5.8,6.7,8.0,520.0,1358.0,2.1,5.4,0.3,6.0,6.0,49.0,170.0,540.0,Moderate,Slightly Polluted
5047.0,"MAHABOOB KUNTA, SURARAM, QUTUBULLAPUR, MEDCHAL 
MALKAGIRI",LAKE,TELANGANA,28.0,28.0,0.8,5.1,6.7,7.8,543.0,882.0,2.1,8.0,1.8,11.6,11.0,33.0,210.0,540.0,Poor,Moderately Polluted
4698.0,"MANNEVARI KUNTA, MACHABOLLARAM
(V) ALWAL",LAKE,TELANGANA,28.0,29.0,0.3,0.3,7.5,8.2,1481.0,1983.0,7.0,10.0,8.4,16.6,47.0,63.0,430.0,540.0,Poor,Moderately Polluted
5049.0,"MEDDELA KUNTA, GAJULARAMARAM, QUTUBULLAPUR, MEDCHAL 
MALKAGIRI",LAKE,TELANGANA,27.0,28.0,1.3,4.2,7.2,8.2,685.0,1054.0,3.0,11.0,0.4,23.0,2.0,47.0,64.0,540.0,Poor,Highly Polluted
4672.0,"MEDI KUNTA (WIPRO LAKE),
NANAKRAMGUDA",LAKE,TELANGANA,20.0,31.0,0.9,3.8,7.2,8.4,809.0,1030.0,3.2,10.0,1.2,16.2,4.0,84.0,240.0,540.0,Poor,Moderately Polluted
4673.0,"MEEDI KUNTA (BK ENCLAVE LAKE), MAQTA MAHBOOBPET,
(MADEENAGUDA)",LAKE,TELANGANA,18.0,29.0,0.3,3.0,6.7,8.4,682.0,1244.0,3.2,11.0,3.6,9.2,11.0,46.0,140.0,540.0,Poor,Highly Polluted
4674.0,"MEEDI KUNTA, HAFEEZPET (V)",LAKE,TELANGANA,24.0,29.0,2.0,3.8,7.4,8.4,742.0,1106.0,2.8,10.0,1.0,8.6,11.0,73.0,170.0,540.0,Poor,Moderately Polluted
2341.0,"MIRALAM LAKE NEAR ZOO PARK, RANGAREDDY",LAKE,TELANGANA,24.0,31.0,0.3,2.9,7.2,8.1,1177.0,1398.0,2.2,8.0,1.2,6.4,4.0,84.0,280.0,430.0,Poor,Moderately Polluted
5029.0,"MOHINI CHERUVU, AMBERPET, HYDERABAD",LAKE,TELANGANA,21.0,27.0,0.3,4.0,7.2,8.5,366.0,2188.0,2.1,18.0,1.7,9.9,9.0,63.0,79.0,430.0,Poor,Highly Polluted
5045.0,"MOTHKULA KUNTA, MACHABOLLARAM, ALWAL, MEDCHAL - MALKAGIRI",LAKE,TELANGANA,26.0,42.0,0.3,3.1,6.8,8.2,1072.0,1790.0,3.0,11.0,0.3,18.6,15.0,63.0,79.0,540.0,Poor,Highly Polluted
5043.0,"MYSAMMA CHERUVU, KUKATPALLY, BALANAGAR, MEDCHAL - MALKAGIRI",LAKE,TELANGANA,27.0,28.0,0.3,2.0,7.1,8.0,1010.0,1358.0,5.0,13.0,0.3,12.6,21.0,63.0,430.0,920.0,Poor,Highly Polluted
4691.0,"NAGOLE CHERUVU, UPPAL (V)",LAKE,TELANGANA,28.0,32.0,0.3,2.0,6.9,8.4,919.0,1632.0,5.8,12.0,1.0,13.5,17.0,84.0,240.0,540.0,Poor,Highly Polluted
5063.0,"NANAKRAM KUNTA, NANAKRAMGUDA,
SERILINGAMPALLY, RR",LAKE,TELANGANA,20.0,35.0,0.3,3.8,7.3,8.2,279.0,1102.0,2.1,32.0,2.2,6.0,4.0,21.0,280.0,430.0,Poor,Highly Polluted
4688.0,NARINJA LAKE,LAKE,TELANGANA,23.0,26.0,5.9,7.1,6.8,7.4,410.0,670.0,2.1,3.0,4.1,7.15,6.0,9.0,21.0,41.0,Good,Clean
5030.0,"NAYA QUILA TALAB, GOLKONDA,
HYDERABAD",LAKE,TELANGANA,22.0,32.0,0.3,3.3,7.5,8.9,1112.0,1356.0,3.3,20.0,2.4,14.3,17.0,63.0,70.0,540.0,Poor,Highly Polluted
5056.0,"NAYANAMMA KUNTA (BASPALLI CHERUVU), HAFEEZPET,
SERILINGAMPALLY, RR",LAKE,TELANGANA,20.0,27.0,0.3,4.0,7.1,8.6,828.0,1248.0,3.0,10.0,2.0,14.0,11.0,33.0,150.0,540.0,Poor,Moderately Polluted
4229.0,NEKNAMPUR LAKE,LAKE,TELANGANA,26.0,35.0,0.3,2.7,7.2,8.5,1322.0,2186.0,6.0,12.0,3.8,35.0,17.0,84.0,140.0,920.0,Poor,Highly Polluted
2342.0,"NOOR MD. KUNTA, KATTEDAN,
RANGAREDDY",LAKE,TELANGANA,25.0,29.0,0.3,0.3,7.2,7.9,1384.0,2436.0,6.2,22.0,4.0,28.7,21.0,94.0,430.0,540.0,Poor,Highly Polluted
4696.0,"PARKI CHERUVU, KUKATPALLY (V),
BALANAGAR",LAKE,TELANGANA,26.0,28.0,0.3,0.3,7.2,8.1,1079.0,1803.0,6.0,12.0,3.0,26.0,8.0,63.0,210.0,540.0,Poor,Highly Polluted
4678.0,"PATEL CHERUVU, NACHARAM (V),
UPPAL (NEW MANDAL)",LAKE,TELANGANA,19.0,30.0,0.3,0.3,7.2,8.1,1193.0,1745.0,7.0,22.0,3.8,28.0,14.0,63.0,240.0,540.0,Poor,Highly Polluted
4693.0,"PATEL CHERUVU, UPPAL (V)",LAKE,TELANGANA,19.0,32.0,0.3,2.6,7.1,7.7,737.0,1515.0,4.6,14.0,4.2,9.4,21.0,73.0,210.0,430.0,Poor,Highly Polluted
5041.0,"PATHULGUDA LAKE, PATHALGUDA, UPPAL, MEDCHAL - MALKAGIRI",LAKE,TELANGANA,27.0,32.0,0.3,2.2,7.1,8.6,1050.0,1579.0,4.0,22.0,1.2,11.2,21.0,77.0,280.0,540.0,Poor,Highly Polluted
4702.0,"PEDDA CHERUVU - KHAJA GUDA, KHJAGUDA (V), SERLINGAMPALLY 9NEW MANDAL)",LAKE,TELANGANA,28.0,34.0,2.1,4.6,7.3,8.2,1130.0,1817.0,8.0,19.0,5.1,15.0,70.0,220.0,230.0,1600.0,Poor,Highly Polluted
4669.0,"PEDDA CHERUVU, GANGARAM (V) SERLINGAMPALLY (NEW MANDAL)",LAKE,TELANGANA,20.0,28.0,0.3,3.4,6.8,8.3,623.0,2440.0,3.5,14.0,3.6,12.4,17.0,94.0,170.0,540.0,Poor,Highly Polluted
4683.0,"PEDDA CHERUVU, MADIKONDA",LAKE,TELANGANA,28.0,29.0,3.3,5.9,7.1,8.4,527.0,746.0,2.1,8.0,0.6,2.8,2.0,31.0,26.0,350.0,Poor,Moderately Polluted
5061.0,"PEDDAKUDI CHERUVU, MAQTA
MAHBOOBPET, SERILINGAMPALLY, RR",LAKE,TELANGANA,20.0,27.0,0.3,3.2,7.1,8.3,717.0,1404.0,4.0,15.0,5.2,14.3,13.0,33.0,160.0,540.0,Poor,Highly Polluted
4681.0,"PHAKAL CHERUVU, NARSAMPET",LAKE,TELANGANA,27.0,28.0,4.8,6.5,7.5,8.5,136.0,458.0,2.1,2.8,0.3,0.8,2.0,2.0,10.0,39.0,Good,Clean
5053.0,"RAMAMMA KUNTA (DR. YSR TOURISM COLLEGE), GACHIBOWLI,
SERILINGAMPALLY, RR",LAKE,TELANGANA,30.0,35.0,0.3,2.4,7.2,8.5,487.0,868.0,3.0,6.0,1.0,13.0,8.0,33.0,170.0,540.0,Poor,Slightly Polluted
3068.0,"RAMAPPA LAKE, WARANGAL",LAKE,TELANGANA,27.0,27.0,5.0,6.4,7.6,8.3,205.0,339.0,2.1,2.3,0.3,1.2,2.0,4.0,15.0,120.0,Good,Clean
4687.0,"RED LAKE, ICRISAT",LAKE,TELANGANA,25.0,25.0,5.5,6.6,6.7,7.5,548.0,1072.0,2.4,5.0,5.18,10.17,14.0,31.0,170.0,350.0,Moderate,Slightly Polluted
